label,area_pixels,perimeter_pixels,major_axis_pixels,minor_axis_pixels,aspect_ratio,compactness,solidity,centroid_row,centroid_col
1,54.0,32.04163056034261,16.534536630576568,5.343872398537163,3.094111422851854,0.6609588263104798,0.7297297297297297,571.3518518518518,520.7962962962963
2,51.0,42.2842712474619,15.120996560021458,7.052272541467712,2.144131054367121,0.358444845817554,0.6623376623376623,754.2352941176471,304.27450980392155
3,51.0,27.62741699796952,12.353181934524978,6.926330882308364,1.7835102227180903,0.8396522855599409,0.7285714285714285,759.3529411764706,65.07843137254902
4,69.0,53.18376618407357,17.33902327872897,9.020464164059076,1.9221874798654113,0.30654961699979627,0.5348837209302325,899.5797101449275,367.69565217391306
5,52.0,35.66295090390226,14.235883615456597,8.392161526306802,1.696330983481616,0.513781729418365,0.5842696629213483,916.2307692307693,385.38461538461536
