candidate_id,observed_latitude,observed_longitude,estimated_origin_latitude,estimated_origin_longitude,backtrack_distance_km,assumed_drift_bearing_degrees,assumed_hours_since_release
C04,18.414997,72.343927,18.437888,72.319795,3.5999999999999996,135,6
C01,18.634411,72.45199,18.657302,72.427827,3.5999999999999996,135,6
C05,18.403867,72.356413,18.426758,72.332283,3.5999999999999996,135,6
C03,18.508736,72.130332,18.531627,72.106187,3.5999999999999996,135,6
C02,18.512157,72.299163,18.535048,72.275018,3.5999999999999996,135,6
